Samolot wystartował.,Samolot wystartował.,5.0
Człowiek gra na dużym flecie.,Człowiek gra na flecie.,3.8
Mężczyzna rozsiewa na pizzy rozdrobniony ser.,Mężczyzna rozsiewa rozdrobniony ser na niegotowanej pizzy.,3.8
Trzech mężczyzn gra w szachy.,Dwóch mężczyzn gra w szachy.,2.6
Mężczyzna gra na wiolonczeli.,Mężczyzna siedzący gra na wiolonczeli.,4.25
Niektórzy ludzie walczą.,Dwóch mężczyzn walczy.,4.25
Mężczyzna pali.,Człowiek jeździ na łyżwach.,0.5
Ten człowiek gra na pianinie.,Ten człowiek gra na gitarze.,1.6
Mężczyzna gra na gitarze i śpiewa.,Kobieta gra na gitarze akustycznej i śpiewa.,2.2
Człowiek rzuca kota na sufit.,Człowiek rzuca kota na sufit.,5.0
Ten człowiek uderzył drugiego człowieka kijem.,Ten człowiek dał drugiemu człowiekowi klapsa kijem.,4.2
Kobieta podnosi i trzyma małego kangura.,Kobieta podnosi się i trzyma w ramionach małego kangurka.,4.6
Człowiek gra na flecie.,Człowiek gra na flecie bambusowym.,3.867
Człowiek składa kartkę papieru.,Ktoś składa kartkę papieru.,4.667
Na drodze biegnie mężczyzna.,Na drodze biegnie pies pandy.,1.667
Pies próbuje ściągnąć bekon z pleców.,Pies próbuje zjeść bekon na plecach.,3.75
Niedźwiedź polarny ślizga się na śniegu.,Niedźwiedź polarny ślizga się po śniegu.,5.0
Kobieta pisze.,Kobieta pływa.,0.5
Kot ociera się o twarz dziecka.,Kot ociera się o dziecko.,3.8
Ten człowiek jedzie na koniu.,Człowiek jedzie na koniu.,5.0
Człowiek wlewa olej do garnka.,Mężczyzna wlewa wino do garnka.,3.2
Człowiek gra na gitarze.,Dziewczyna gra na gitarze.,2.8
Panda zsuwa się po zjeżdżalni.,Panda zsuwa się po zjeżdżalni.,4.6
Kobieta coś je.,Kobieta je mięso.,3.0
Kobieta obiera ziemniaka.,Kobieta obiera ziemniaka.,5.0
Chłopak spadł z roweru.,Chłopak spada z roweru.,4.8
Ta kobieta gra na flecie.,Kobieta gra na flecie.,5.0
Królik ucieka przed orłem.,Zając ucieka przed orłem.,4.2
Kobieta smaży chlebowy kotlet wieprzowy.,Kobieta gotuje chlebowy kotlet wieprzowy.,4.2
Dziewczyna leci latawcem.,Dziewczyna biegająca leci latawcem.,4.0
Człowiek jeździ mechanicznym bykiem.,Człowiek jechał mechanicznym bykiem.,4.0
Ten człowiek gra na gitarze.,Człowiek gra na gitarze.,4.909
Kobieta tańczy i śpiewa z innymi kobietami.,Kobieta tańczy i śpiewa w deszczu.,3.0
Mężczyzna kroi bułkę.,Mężczyzna kroi cebulę.,2.4
Człowiek wlewa olej do patelni.,Człowiek wlewa oliwę do patelni.,4.2
Lew bawi się z ludźmi.,Lew bawi się z dwoma mężczyznami.,3.4
Pies jeździ na deskorolce.,Pies jedzie na deskorolce.,5.0
Ktoś rzeźbi posąg.,Mężczyzna rzeźbi posąg.,3.75
Kobieta kroi cebulę.,Człowiek kroi cebulę.,2.75
Kobieta obiera krewetki.,Kobieta obiera krewetki.,5.0
Kobieta smaży rybę.,Kobieta gotuje rybę.,4.0
Kobieta gra na gitarze elektrycznej.,Kobieta gra na gitarze.,3.6
Mały tygrys bawi się piłką.,Dziecko bawi się lalką.,1.6
Człowiek kroi pomidora.,Człowiek kroi trochę mięsa.,1.75
Człowiek kroi cebulę.,Człowiek kroi cebulę.,5.0
Mężczyzna gra na pianinie.,Kobieta gra na skrzypcach.,1.0
Kobieta gra na flecie.,Mężczyzna gra na gitarze.,1.0
Człowiek kroi ziemniaka.,Mężczyzna kroi marchewki.,2.375
Dzieciak gra na gitarze.,Chłopak gra na gitarze.,3.8
Chłopak gra na gitarze.,Człowiek gra na gitarze.,3.2
Mężczyzna gra na gitarze.,Chłopak gra na gitarze.,3.2
Mały chłopiec gra na klawiaturze.,Chłopak gra na tablicy z kluczami.,4.4
Człowiek gra na gitarze.,Człowiek gra na gitarze elektrycznej.,3.75
Pies liże dziecko.,Pies liże dziecko.,4.75
Kobieta kroi cebulę.,Człowiek kroi i cebulę.,3.2
Mężczyzna gra na gitarze.,Człowiek gra na perkusji.,1.556
Kobieta kroi pieprzyk.,Kobieta kroi czerwoną paprykę.,3.938
Człowiek gra na perkusji.,Człowiek gra na perkusji.,5.0
Kobieta jeździ na koniu.,Kobieta jedzie na koniu.,5.0
Mężczyzna zjada banana przy drzewie.,Człowiek je banana.,4.0
Kot gra na tablicy z kluczami.,Mężczyzna gra na dwóch klawiszach.,1.6
Człowiek rąbie drzewo siekierą.,Człowiek ściął drzewo toporem.,4.75
Dzieciak bawi się zabawkowym telefonem.,Mały chłopiec bawi się zabawkowym telefonem.,3.5
Mężczyzna jedzie na motocyklu.,Człowiek jedzie na koniu.,1.4
Mężczyzna jedzie na motocyklu.,Człowiek jedzie na koniu.,1.4
Wiewiórka kręci się w kółko.,Wiewiórka kręci się w kółko.,4.0
Mężczyzna i kobieta się całują.,Pocałunek mężczyzny i kobiety.,5.0
Mężczyzna wsiada do samochodu.,Mężczyzna wsiada do samochodu w garażu.,3.833
Mężczyzna tańczy.,Mężczyzna mówi.,0.6
Mężczyzna gra na gitarze i śpiewa.,Mężczyzna gra na gitarze.,2.917
Człowiek kroi grzyby.,Człowiek kroi grzybki nożem.,4.2
Młody tygrys wydaje dźwięk.,Tygrys idzie w kółko.,2.0
Człowiek kroi cebulę.,Człowiek obiera cebulę.,2.6
Mężczyzna gra na pianinie.,Człowiek gra na trąbce.,1.6
Kobieta obiera ziemniaka.,Kobieta obiera jabłko.,2.0
Pankda je bambus.,Niedźwiedź panda zjada trochę bambusa.,4.2
Człowiek obiera cebulę.,Człowiek obiera bakłażana.,2.0
Małpa popycha inną małpę.,Małpa popchnęła drugą małpę.,4.8
Wiewiórka kręci się w kółko.,Wiewiórka porusza się w kółko.,4.4
Mężczyzna wiąże swój but.,Mężczyzna wiąże swój but.,5.0
Chłopiec śpiewa i gra na pianinie.,Chłopak gra na pianinie.,3.0
Pies je melona wodnego.,Pies zjada kawałek arbuza.,4.25
Kobieta sieka brokuły.,Kobieta sieka brokuły nożem.,4.25
Mężczyzna obiera ziemniaka.,Mężczyzna obierał ziemniaka.,3.8
Kobieta gra na gitarze.,Człowiek gra na gitarze.,2.4
Kobieta kroi pomidory.,Mężczyzna kroi cebulę.,1.6
Człowiek pływa pod wodą.,Kobieta pływa pod wodą.,2.0
Mężczyzna i kobieta rozmawiają.,Mężczyzna i kobieta jedzą.,1.6
Mały pies ugania się za piłką do jogi.,Pies ugania się za piłką.,4.0
Mężczyźni grają w krykieta.,Mężczyźni grają w koszykówkę.,2.2
Mężczyzna jeździ na motocyklu.,Mężczyzna jedzie na motocyklu.,4.4
Człowiek gra na gitarze.,Człowiek śpiewa i gra na gitarze.,3.6
Ten człowiek rozmawiał przez telefon.,Ten człowiek rozmawia przez telefon.,3.6
Człowiek łowi ryby.,Mężczyzna ćwiczy.,0.5
Człowiek lewituje.,Mężczyzna mówi.,0.8
Dwóch chłopców jedzie.,Dwie zatoczki tańczą.,0.6
Człowiek jedzie na koniu.,Dziewczyna jedzie na koniu.,2.6
Mężczyzna jedzie na rowerze.,Małpa jedzie na rowerze.,2.0
Mężczyzna kroi ziemniaki.,Kobieta obiera ziemniaki.,2.2
Kobieta obiera ziemniaka.,Mężczyzna kroi ziemniaki.,2.4
