Er gaat een vliegtuig opstijgen.,Er gaat een vliegtuig opstijgen.,5.0
Een man speelt een grote fluit.,Een man speelt fluit.,3.8
Een man smeert geraspte kaas op een pizza.,Een man strooit geraspte kaas op een ongekookte pizza.,3.8
Drie mannen zijn aan het schaken.,Twee mannen zijn aan het schaken.,2.6
Een man speelt cello.,Een zittende man speelt cello.,4.25
Sommige mannen zijn aan het vechten.,Twee mannen zijn aan het vechten.,4.25
Een man rookt.,Een man is aan het schaatsen.,0.5
De man speelt piano.,De man speelt gitaar.,1.6
Een man speelt op een gitaar en zingt.,Een vrouw speelt een akoestische gitaar en zingt.,2.2
Iemand gooit een kat tegen het plafond.,Iemand gooit een kat op het plafond.,5.0
De man sloeg de andere man met een stok.,De man sloeg de andere man met een stok.,4.2
Een vrouw pakt een babykangaroe op en houdt hem vast.,Een vrouw pakt een babykangaroe op en houdt deze in haar armen.,4.6
Een man speelt fluit.,Een man speelt op een bamboefluit.,3.867
Een persoon is een stuk papier aan het vouwen.,Iemand is een stuk papier aan het vouwen.,4.667
Er loopt een man op de weg.,Er loopt een pandahond op de weg.,1.667
Een hond probeert spek van zijn rug te krijgen.,Een hond probeert het spek op zijn rug op te eten.,3.75
De ijsbeer glijdt over de sneeuw.,Een ijsbeer glijdt over de sneeuw.,5.0
Een vrouw schrijft.,Een vrouw is aan het zwemmen.,0.5
Een kat wrijft tegen het gezicht van de baby.,Een kat wrijft tegen een baby.,3.8
De man rijdt op een paard.,Een man rijdt op een paard.,5.0
Een man giet olie in een pot.,Een man schenkt wijn in een pot.,3.2
Een man speelt gitaar.,Een meisje speelt gitaar.,2.8
Een panda glijdt van een glijbaan af.,Een panda glijdt van een glijbaan af.,4.6
Een vrouw eet iets.,Een vrouw eet vlees.,3.0
Een vrouw schilt een aardappel.,Een vrouw is een aardappel aan het schillen.,5.0
De jongen viel van zijn fiets.,Een jongen valt van zijn fiets.,4.8
De vrouw speelt fluit.,Een vrouw speelt fluit.,5.0
Een konijn rent voor een adelaar.,Een haas rent voor een adelaar.,4.2
De vrouw bakt een gepaneerde varkenskotelet.,Een vrouw kookt een gepaneerde varkenskotelet.,4.2
Een meisje vliegt met een vlieger.,"Een meisje dat loopt, vliegt met een vlieger.",4.0
Een man rijdt op een mechanische stier.,Een man reed op een mechanische stier.,4.0
De man speelt gitaar.,Een man speelt gitaar.,4.909
Een vrouw danst en zingt met andere vrouwen.,Een vrouw danst en zingt in de regen.,3.0
Een man is een broodje aan het snijden.,Een man is een ui aan het snijden.,2.4
Een man giet olie in een pan.,Een man giet olie in een koekenpan.,4.2
Een leeuw speelt met mensen.,Een leeuw speelt met twee mannen.,3.4
Een hond rijdt op een skateboard.,Een hond rijdt op een skateboard.,5.0
Iemand is een standbeeld aan het snijden.,Een man is een standbeeld aan het snijden.,3.75
Een vrouw is een ui aan het snijden.,Een man snijdt een ui.,2.75
Een vrouw schilt garnalen.,Een vrouw pelt garnalen.,5.0
Een vrouw is vis aan het bakken.,Een vrouw kookt vis.,4.0
Een vrouw speelt op een elektrische gitaar.,Een vrouw speelt gitaar.,3.6
Een baby-tijger speelt met een bal.,Een baby speelt met een pop.,1.6
Iemand is een tomaat aan het snijden.,Iemand snijdt wat vlees.,1.75
Een persoon snijdt een ui.,Iemand snijdt een ui.,5.0
Een man speelt piano.,Een vrouw speelt viool.,1.0
Een vrouw speelt fluit.,Een man speelt gitaar.,1.0
Een man is een aardappel aan het snijden.,Een man snijdt wortels in stukken.,2.375
Een kind speelt gitaar.,Een jongen speelt gitaar.,3.8
Een jongen speelt gitaar.,Een man speelt gitaar.,3.2
Een man speelt gitaar.,Een jongen speelt gitaar.,3.2
Een kleine jongen speelt een keyboard.,Een jongen speelt sleutelbos.,4.4
Een man speelt gitaar.,Een man speelt op een elektrische gitaar.,3.75
Een hond likt een baby.,Een hond likt een baby.,4.75
Een vrouw is een ui aan het snijden.,Een man is aan het snijden en uien.,3.2
Een man speelt gitaar.,Er speelt een man op de drums.,1.556
Een vrouw snijdt een peper.,Een vrouw snijdt een rode peper.,3.938
Er speelt een man op de drums.,Een man speelt de trommel.,5.0
Een vrouw rijdt op een paard.,Een vrouw rijdt op een paard.,5.0
Een man eet een banaan bij een boom.,Een man eet een banaan.,4.0
Een kat speelt een sleutelbos.,Een man speelt twee toetsenborden.,1.6
Een man hakt een boom om met een bijl.,Een man sneed een boom met een bijl.,4.75
Een kind speelt met een speelgoedtelefoon.,Een kleine jongen speelt met een speelgoedtelefoon.,3.5
Een man rijdt op een motor.,Een man rijdt op een paard.,1.4
Een man rijdt op een motor.,Een man rijdt op een paard.,1.4
