Ein Flugzeug hebt gerade ab.,Ein Flugzeug hebt gerade ab.,5.0
Ein Mann spielt eine große Flöte.,Ein Mann spielt eine Flöte.,3.8
Ein Mann streicht geriebenen Käse auf eine Pizza.,Ein Mann streicht geriebenen Käse auf eine ungekochte Pizza.,3.8
Drei Männer spielen Schach.,Zwei Männer spielen Schach.,2.6
Ein Mann spielt Cello.,Ein sitzender Mann spielt Cello.,4.25
Einige Männer kämpfen.,Zwei Männer kämpfen.,4.25
Ein Mann raucht.,Ein Mann läuft Schlittschuh.,0.5
Der Mann spielt Klavier.,Der Mann spielt Gitarre.,1.6
Ein Mann spielt auf einer Gitarre und singt.,Eine Frau spielt eine akustische Gitarre und singt.,2.2
Eine Person wirft eine Katze an die Decke.,Eine Person wirft eine Katze an die Decke.,5.0
Der Mann schlug den anderen Mann mit einem Stock.,Der Mann versohlte den anderen Mann mit einem Stock.,4.2
Eine Frau hebt ein Babykänguru auf und hält es.,Eine Frau hebt ein Babykänguru auf und hält es in ihren Armen.,4.6
Ein Mann spielt eine Flöte.,Ein Mann spielt eine Bambusflöte.,3.867
Eine Person faltet ein Stück Papier.,Jemand faltet ein Blatt Papier.,4.667
Ein Mann rennt auf der Straße.,Ein Pandahund läuft auf der Straße.,1.667
"Ein Hund versucht, sich den Speck vom Rücken zu holen.","Ein Hund versucht, den Speck auf seinem Rücken zu fressen.",3.75
Der Eisbär gleitet auf dem Schnee.,Ein Eisbär gleitet über den Schnee.,5.0
Eine Frau schreibt.,Eine Frau schwimmt.,0.5
Eine Katze reibt sich am Gesicht des Babys.,Eine Katze reibt sich an einem Baby.,3.8
Der Mann reitet auf einem Pferd.,Ein Mann reitet auf einem Pferd.,5.0
Ein Mann gießt Öl in einen Topf.,Ein Mann gießt Wein in einen Topf.,3.2
Ein Mann spielt Gitarre.,Ein Mädchen spielt Gitarre.,2.8
Ein Panda rutscht eine Rutsche hinunter.,Ein Panda rutscht eine Rutsche hinunter.,4.6
Eine Frau isst etwas.,Eine Frau isst Fleisch.,3.0
Eine Frau schält eine Kartoffel.,Eine Frau schält eine Kartoffel.,5.0
Der Junge ist vom Fahrrad gefallen.,Ein Junge fällt vom Fahrrad.,4.8
Die Frau spielt Flöte.,Eine Frau spielt Flöte.,5.0
Ein Kaninchen rennt vor einem Adler davon.,Ein Hase rennt vor einem Adler davon.,4.2
Die Frau brät ein paniertes Schweinekotelett.,Eine Frau kocht ein paniertes Schweinekotelett.,4.2
Ein Mädchen lässt einen Drachen steigen.,Ein laufendes Mädchen lässt einen Drachen steigen.,4.0
Ein Mann reitet auf einem mechanischen Bullen.,Ein Mann ritt einen mechanischen Bullen.,4.0
Der Mann spielt Gitarre.,Ein Mann spielt Gitarre.,4.909
Eine Frau tanzt und singt mit anderen Frauen.,Eine Frau tanzt und singt im Regen.,3.0
Ein Mann schneidet ein Brötchen auf.,Ein Mann schneidet eine Zwiebel.,2.4
Ein Mann gießt Öl in eine Pfanne.,Ein Mann gießt Öl in eine Pfanne.,4.2
Ein Löwe spielt mit den Menschen.,Ein Löwe spielt mit zwei Männern.,3.4
Ein Hund fährt auf einem Skateboard.,Ein Hund fährt auf einem Skateboard.,5.0
Jemand schnitzt eine Statue.,Ein Mann schnitzt eine Statue.,3.75
Eine Frau schneidet eine Zwiebel in Scheiben.,Ein Mann schneidet eine Zwiebel.,2.75
Eine Frau schält Garnelen.,Eine Frau schält Garnelen.,5.0
Eine Frau brät Fisch.,Eine Frau kocht gerade Fisch.,4.0
Eine Frau spielt eine elektrische Gitarre.,Eine Frau spielt Gitarre.,3.6
Ein Tigerbaby spielt mit einem Ball.,Ein Baby spielt mit einer Puppe.,1.6
