A plane is taking off.,An air plane is taking off.,5.0
A man is playing a large flute.,A man is playing a flute.,3.8
A man is spreading shreded cheese on a pizza.,A man is spreading shredded cheese on an uncooked pizza.,3.8
Three men are playing chess.,Two men are playing chess.,2.6
A man is playing the cello.,A man seated is playing the cello.,4.25
Some men are fighting.,Two men are fighting.,4.25
A man is smoking.,A man is skating.,0.5
The man is playing the piano.,The man is playing the guitar.,1.6
A man is playing on a guitar and singing.,A woman is playing an acoustic guitar and singing.,2.2
A person is throwing a cat on to the ceiling.,A person throws a cat on the ceiling.,5.0
The man hit the other man with a stick.,The man spanked the other man with a stick.,4.2
A woman picks up and holds a baby kangaroo.,A woman picks up and holds a baby kangaroo in her arms.,4.6
A man is playing a flute.,A man is playing a bamboo flute.,3.867
A person is folding a piece of paper.,Someone is folding a piece of paper.,4.667
A man is running on the road.,A panda dog is running on the road.,1.667
A dog is trying to get bacon off his back.,A dog is trying to eat the bacon on its back.,3.75
The polar bear is sliding on the snow.,A polar bear is sliding across the snow.,5.0
A woman is writing.,A woman is swimming.,0.5
A cat is rubbing against baby's face.,A cat is rubbing against a baby.,3.8
The man is riding a horse.,A man is riding on a horse.,5.0
A man pours oil into a pot.,A man pours wine in a pot.,3.2
A man is playing a guitar.,A girl is playing a guitar.,2.8
A panda is sliding down a slide.,A panda slides down a slide.,4.6
A woman is eating something.,A woman is eating meat.,3.0
A woman peels a potato.,A woman is peeling a potato.,5.0
The boy fell off his bike.,A boy falls off his bike.,4.8
The woman is playing the flute.,A woman is playing a flute.,5.0
A rabbit is running from an eagle.,A hare is running from a eagle.,4.2
The woman is frying a breaded pork chop.,A woman is cooking a breaded pork chop.,4.2
A girl is flying a kite.,A girl running is flying a kite.,4.0
A man is riding a mechanical bull.,A man rode a mechanical bull.,4.0
The man is playing the guitar.,A man is playing a guitar.,4.909
A woman is dancing and singing with other women.,A woman is dancing and singing in the rain.,3.0
A man is slicing a bun.,A man is slicing an onion.,2.4
A man is pouring oil into a pan.,A man is pouring oil into a skillet.,4.2
A lion is playing with people.,A lion is playing with two men.,3.4
A dog rides a skateboard.,A dog is riding a skateboard.,5.0
Someone is carving a statue.,A man is carving a statue.,3.75
A woman is slicing an onion.,A man is cutting an onion.,2.75
A woman peels shrimp.,A woman is peeling shrimp.,5.0
A woman is frying fish.,A woman is cooking fish.,4.0
A woman is playing an electric guitar.,A woman is playing a guitar.,3.6
A baby tiger is playing with a ball.,A baby is playing with a doll.,1.6
A person is slicing a tomato.,A person is slicing some meat.,1.75
A person cuts an onion.,A person is cutting an onion.,5.0
A man is playing the piano.,A woman is playing the violin.,1.0
A woman is playing the flute.,A man is playing the guitar.,1.0
A man is cutting up a potato.,A man is cutting up carrots.,2.375
A kid is playing guitar.,A boy is playing a guitar.,3.8
A boy is playing guitar.,A man is playing a guitar.,3.2
A man is playing guitar.,A boy is playing a guitar.,3.2
A little boy is playing a keyboard.,A boy is playing key board.,4.4
A man is playing a guitar.,A man is playing an electric guitar.,3.75
A dog licks a baby.,A dog is licking a baby.,4.75
A woman is slicing an onion.,A man is cutting and onion.,3.2
A man is playing the guitar.,A man is playing the drums.,1.556
A woman is slicing a pepper.,A woman is cutting a red pepper.,3.938
A man is playing the drums.,A man plays the drum.,5.0
A woman rides a horse.,A woman is riding a horse.,5.0
A man is eating a banana by a tree.,A man is eating a banana.,4.0
A cat is playing a key board.,A man is playing two keyboards.,1.6
A man chops down a tree with an axe.,A man cut a tree with an axe.,4.75
A kid plays with a toy phone.,A little boy plays with a toy phone.,3.5
A man is riding a motorcycle.,A man is riding a horse.,1.4
A man is riding a motorcycle.,A man is riding a horse.,1.4
A squirrel is spinning around in circles.,A squirrel runs around in circles.,4.0
A man and a woman are kissing.,A man and woman kiss.,5.0
A man is getting into a car.,A man is getting into a car in a garage.,3.833
A man is dancing.,A man is talking.,0.6
A man is playing the guitar and singing.,A man is playing the guitar.,2.917
A person is cutting mushrooms.,A person is cutting mushrooms with a knife.,4.2
A tiger cub is making a sound.,A tiger is walking around.,2.0
A person is slicing onions.,A person is peeling an onion.,2.6
A man is playing the piano.,A man is playing the trumpet.,1.6
A woman is peeling a potato.,A woman is peeling an apple.,2.0
A pankda is eating bamboo.,A panda bear is eating some bamboo.,4.2
