Un avion est en train de décoller.,Un avion est en train de décoller.,5.0
Un homme joue d'une grande flûte.,Un homme joue de la flûte.,3.8
Un homme étale du fromage râpé sur une pizza.,Un homme étale du fromage râpé sur une pizza non cuite.,3.8
Trois hommes jouent aux échecs.,Deux hommes jouent aux échecs.,2.6
Un homme joue du violoncelle.,Un homme assis joue du violoncelle.,4.25
Certains hommes se battent.,Deux hommes se battent.,4.25
Un homme est en train de fumer.,Un homme fait du patinage.,0.5
L'homme joue du piano.,L'homme joue de la guitare.,1.6
Un homme joue de la guitare et chante.,Une femme joue de la guitare acoustique et chante.,2.2
Une personne jette un chat au plafond.,Une personne jette un chat au plafond.,5.0
L'homme a frappé l'autre homme avec un bâton.,L'homme a donné une fessée à l'autre homme avec un bâton.,4.2
Une femme prend et tient un bébé kangourou.,Une femme prend et tient un bébé kangourou dans ses bras.,4.6
Un homme joue de la flûte.,Un homme joue de la flûte de bambou.,3.867
Une personne est en train de plier un morceau de papier.,Quelqu'un est en train de plier un morceau de papier.,4.667
Un homme court sur la route.,Un chien panda court sur la route.,1.667
Un chien essaie de se débarrasser de son bacon.,Un chien essaie de manger le bacon sur son dos.,3.75
L'ours polaire glisse sur la neige.,Un ours polaire glisse sur la neige.,5.0
Une femme est en train d'écrire.,Une femme nage.,0.5
Un chat se frotte au visage de bébé.,Un chat se frotte contre un bébé.,3.8
L'homme est à cheval.,Un homme est monté sur un cheval.,5.0
Un homme verse de l'huile dans un pot.,Un homme verse du vin dans un pot.,3.2
Un homme joue de la guitare.,Une fille joue de la guitare.,2.8
Un panda glisse sur un toboggan.,Un panda glisse sur un toboggan.,4.6
Une femme est en train de manger quelque chose.,Une femme mange de la viande.,3.0
Une femme épluche une pomme de terre.,Une femme épluche une pomme de terre.,5.0
Le garçon est tombé de son vélo.,Un garçon tombe de son vélo.,4.8
La femme joue de la flûte.,Une femme joue de la flûte.,5.0
Un lapin court après un aigle.,Un lièvre court devant un aigle.,4.2
La femme fait frire une côtelette de porc panée.,Une femme prépare une côtelette de porc panée.,4.2
Une fille fait voler un cerf-volant.,Une fille qui court fait voler un cerf-volant.,4.0
Un homme monte un taureau mécanique.,Un homme était à cheval sur un taureau mécanique.,4.0
L'homme joue de la guitare.,Un homme joue de la guitare.,4.909
Une femme danse et chante avec d'autres femmes.,Une femme danse et chante sous la pluie.,3.0
Un homme est en train de couper un petit pain.,Un homme coupe un oignon en tranches.,2.4
Un homme verse de l'huile dans une casserole.,Un homme verse de l'huile dans une poêle.,4.2
Un lion joue avec les gens.,Un lion joue avec deux hommes.,3.4
Un chien fait du skateboard.,Un chien fait du skateboard.,5.0
Quelqu'un est en train de sculpter une statue.,Un homme est en train de sculpter une statue.,3.75
Une femme coupe un oignon.,Un homme est en train de couper un oignon.,2.75
Une femme épluche des crevettes.,Une femme est en train de peler des crevettes.,5.0
Une femme fait frire du poisson.,Une femme fait cuire du poisson.,4.0
Une femme joue de la guitare électrique.,Une femme joue de la guitare.,3.6
Un bébé tigre joue avec une balle.,Un bébé joue avec une poupée.,1.6
Une personne coupe une tomate en tranches.,Une personne coupe de la viande en tranches.,1.75
Une personne coupe un oignon.,Une personne est en train de couper un oignon.,5.0
Un homme joue du piano.,Une femme joue du violon.,1.0
Une femme joue de la flûte.,Un homme joue de la guitare.,1.0
Un homme est en train de couper une pomme de terre.,Un homme est en train de couper des carottes.,2.375
Un enfant joue de la guitare.,Un garçon joue de la guitare.,3.8
Un garçon joue de la guitare.,Un homme joue de la guitare.,3.2
Un homme joue de la guitare.,Un garçon joue de la guitare.,3.2
Un petit garçon joue du clavier.,Un garçon joue au clavier.,4.4
Un homme joue de la guitare.,Un homme joue de la guitare électrique.,3.75
Un chien lèche un bébé.,Un chien est en train de lécher un bébé.,4.75
Une femme coupe un oignon.,Un homme est en train de couper et d'ogner.,3.2
Un homme joue de la guitare.,Un homme joue de la batterie.,1.556
Une femme est en train de couper un poivron.,Une femme coupe un poivron rouge.,3.938
Un homme joue de la batterie.,Un homme joue du tambour.,5.0
Une femme monte à cheval.,Une femme monte à cheval.,5.0
Un homme mange une banane près d'un arbre.,Un homme mange une banane.,4.0
Un chat joue sur un clavier.,Un homme joue de deux claviers.,1.6
Un homme abat un arbre avec une hache.,Un homme a coupé un arbre avec une hache.,4.75
Un enfant joue avec un téléphone jouet.,Un petit garçon joue avec un téléphone jouet.,3.5
Un homme conduit une moto.,Un homme est à cheval.,1.4
Un homme conduit une moto.,Un homme est à cheval.,1.4
Un écureuil tourne en rond.,Un écureuil tourne en rond.,4.0
Un homme et une femme s'embrassent.,Un homme et une femme s'embrassent.,5.0
Un homme monte dans une voiture.,Un homme monte dans une voiture dans un garage.,3.833
Un homme est en train de danser.,Un homme parle.,0.6
Un homme joue de la guitare et chante.,Un homme joue de la guitare.,2.917
Une personne coupe des champignons.,Une personne coupe des champignons avec un couteau.,4.2
Un bébé tigre fait un bruit.,Un tigre se promène.,2.0
Une personne coupe des oignons.,Une personne est en train de peler un oignon.,2.6
Un homme joue du piano.,Un homme joue de la trompette.,1.6
Une femme épluche une pomme de terre.,Une femme épluche une pomme.,2.0
Un pankda mange du bambou.,Un panda est en train de manger du bambou.,4.2
Une personne est en train de peler un oignon.,Une personne est en train d'éplucher une aubergine.,2.0
Un singe pousse un autre singe.,Le singe a poussé l'autre singe.,4.8
Un écureuil tourne en rond.,Un écureuil tourne en rond.,4.4
Un homme est en train de lacer sa chaussure.,Un homme attache sa chaussure.,5.0
Un garçon chante et joue du piano.,Un garçon joue du piano.,3.0
Un chien mange de la pastèque.,Un chien mange un morceau de pastèque.,4.25
Une femme est en train de couper des brocolis.,Une femme coupe des brocolis avec un couteau.,4.25
Un homme est en train d'éplucher une pomme de terre.,Un homme a épluché une pomme de terre.,3.8
Une femme joue de la guitare.,Un homme joue de la guitare.,2.4
Une femme est en train de couper une tomate.,Un homme est en train de couper un oignon.,1.6
Un homme nage sous l'eau.,Une femme nage sous l'eau.,2.0
Un homme et une femme se parlent.,Un homme et une femme mangent.,1.6
Un petit chien poursuit une balle de yoga.,Un chien poursuit une balle.,4.0
Les hommes jouent au cricket.,Les hommes jouent au basket-ball.,2.2
Un homme part en moto.,Un homme est à moto.,4.4
Un homme joue de la guitare.,Un homme chante et joue de la guitare.,3.6
L'homme a parlé au téléphone.,L'homme parle au téléphone.,3.6
Un homme est en train de pêcher.,Un homme fait de l'exercice.,0.5
Un homme est en lévitation.,Un homme parle.,0.8
Deux garçons conduisent.,Deux baies dansent.,0.6
Un homme est monté sur un cheval.,Une fille monte à cheval.,2.6
Un homme est à vélo.,Un singe fait du vélo.,2.0
Un homme est en train de couper des pommes de terre.,Une femme épluche une pomme de terre.,2.2
Une femme épluche une pomme de terre.,Un homme coupe une pomme de terre.,2.4
