Um avião está a descolar.,Um avião aéreo está a descolar.,5.0
Um homem está a tocar uma grande flauta.,Um homem está a tocar uma flauta.,3.8
Um homem está a espalhar queijo desfiado numa pizza.,Um homem está a espalhar queijo desfiado sobre uma pizza não cozida.,3.8
Três homens estão a jogar xadrez.,Dois homens estão a jogar xadrez.,2.6
Um homem está a tocar violoncelo.,Um homem sentado está a tocar violoncelo.,4.25
Alguns homens estão a lutar.,Dois homens estão a lutar.,4.25
Um homem está a fumar.,Um homem está a patinar.,0.5
O homem está a tocar piano.,O homem está a tocar a guitarra.,1.6
Um homem está a tocar numa guitarra e a cantar.,Uma mulher está a tocar uma guitarra acústica e a cantar.,2.2
Uma pessoa está a atirar um gato para o tecto.,Uma pessoa atira um gato para o tecto.,5.0
O homem bateu no outro homem com um pau.,O homem espancou o outro homem com um pau.,4.2
Uma mulher pega e segura num canguru bebé.,Uma mulher pega e segura um canguru bebé nos seus braços.,4.6
Um homem está a tocar uma flauta.,Um homem está a tocar uma flauta de bambu.,3.867
Uma pessoa está a dobrar um pedaço de papel.,Alguém está a dobrar um pedaço de papel.,4.667
Um homem está a correr na estrada.,Um cão panda está a correr na estrada.,1.667
Um cão está a tentar tirar o toucinho das costas.,Um cão está a tentar comer o bacon nas suas costas.,3.75
O urso polar está a deslizar sobre a neve.,Um urso polar está a deslizar sobre a neve.,5.0
Uma mulher está a escrever.,Uma mulher está a nadar.,0.5
Um gato está a esfregar na cara do bebé.,Um gato está a esfregar contra um bebé.,3.8
O homem está a montar um cavalo.,Um homem está a montar a cavalo.,5.0
Um homem deita óleo numa panela.,Um homem deita vinho numa panela.,3.2
Um homem está a tocar guitarra.,Uma rapariga está a tocar guitarra.,2.8
Um panda está a deslizar por um escorrega.,Um panda desliza por um escorrega.,4.6
Uma mulher está a comer qualquer coisa.,Uma mulher está a comer carne.,3.0
Uma mulher descasca uma batata.,Uma mulher está a descascar uma batata.,5.0
O rapaz caiu da sua bicicleta.,Um rapaz cai da sua bicicleta.,4.8
A mulher está a tocar a flauta.,Uma mulher está a tocar uma flauta.,5.0
Um coelho está a fugir de uma águia.,Uma lebre está a fugir de uma águia.,4.2
A mulher está a fritar uma costeleta de porco panada.,Uma mulher está a cozinhar uma costeleta de porco panada.,4.2
