Самолет взлетает.,Взлетает самолет.,5.0
Человек играет на большой флейте.,Человек играет на флейте.,3.8
Мужчина разбрасывает сыр на пиццу.,Мужчина разбрасывает измельченный сыр на вареную пиццу.,3.8
Трое мужчин играют в шахматы.,Двое мужчин играют в шахматы.,2.6
Мужчина играет на виолончели.,"Человек, сидящий на виолончели, играет на виолончели.",4.25
Некоторые мужчины ссорятся.,Двое мужчин дерутся.,4.25
Человек курит.,Человек катается на коньках.,0.5
Человек играет на пианино.,Он играет на гитаре.,1.6
Мужчина играет на гитаре и поет.,Женщина играет на акустической гитаре и поет.,2.2
Человек бросает кошку на потолок.,Человек бросает кошку на потолок.,5.0
Мужчина ударил другого мужчину палкой.,Человек отшлепал другого палкой.,4.2
Женщина берет и держит на руках кенгуру.,Женщина поднимает и держит на руках ребенка-кенгуру.,4.6
Человек играет на флейте.,Человек играет на бамбуковой флейте.,3.867
Человек складывает лист бумаги.,Кто-то складывает лист бумаги.,4.667
Человек бежит по дороге.,Панда-собака бежит по дороге.,1.667
Собака пытается убрать бекон со спины.,Собака пытается съесть бекон на спине.,3.75
Белый медведь скользит по снегу.,Белый медведь скользит по снегу.,5.0
Женщина пишет.,Женщина плавает.,0.5
Кошка терется о лицо ребенка.,Кошка терется о ребёнка.,3.8
Человек едет на лошади.,Мужчина едет на лошади.,5.0
Человек наливает масло в кастрюлю.,Мужчина наливает вино в кастрюлю.,3.2
Человек играет на гитаре.,Девушка играет на гитаре.,2.8
Панда скользит по горке.,Панда скользит по горке.,4.6
Женщина что-то ест.,Женщина ест мясо.,3.0
Женщина чистит картошку.,Женщина чистит картошку.,5.0
Мальчик упал с велосипеда.,Мальчик падает с велосипеда.,4.8
Женщина играет на флейте.,Женщина играет на флейте.,5.0
Кролик бежит от орла.,Заяц бежит от орла.,4.2
Женщина жарит панировочную свиную отбивную.,Женщина готовит свиную отбивную с панировкой.,4.2
Девушка запускает воздушного змея.,Бегущая девушка запускает воздушного змея.,4.0
Человек едет на механическом быке.,Человек ездил на механическом быке.,4.0
Он играет на гитаре.,Человек играет на гитаре.,4.909
Женщина танцует и поет с другими женщинами.,Женщина танцует и поет под дождем.,3.0
Мужчина режет булочку.,Человек режет лук.,2.4
Человек заливает масло в кастрюлю.,Человек заливает масло в сковородку.,4.2
Лев играет с людьми.,Лев играет с двумя мужчинами.,3.4
Собака катается на скейте.,Собака катается на скейте.,5.0
Кто-то вырезает статую.,Человек вырезает статую.,3.75
Женщина режет лук.,Человек режет лук.,2.75
Женщина чистит креветки.,Женщина чистит креветки.,5.0
Женщина жарит рыбу.,Женщина готовит рыбу.,4.0
Женщина играет на электрогитаре.,Женщина играет на гитаре.,3.6
Маленький тигр играет с мячом.,Ребенок играет с куклой.,1.6
Человек режет помидор.,Человек нарезает мясо.,1.75
Человек режет лук.,Человек режет лук.,5.0
Человек играет на пианино.,Женщина играет на скрипке.,1.0
Женщина играет на флейте.,Человек играет на гитаре.,1.0
Человек режет картошку.,Мужчина режет морковь.,2.375
Ребенок играет на гитаре.,Мальчик играет на гитаре.,3.8
Мальчик играет на гитаре.,Человек играет на гитаре.,3.2
Человек играет на гитаре.,Мальчик играет на гитаре.,3.2
Маленький мальчик играет на клавиатуре.,Мальчик играет на клавишной доске.,4.4
Человек играет на гитаре.,Человек играет на электрогитаре.,3.75
Собака лижет ребенка.,Собака лижет ребенка.,4.75
Женщина режет лук.,Человек режет и лук.,3.2
Человек играет на гитаре.,Человек играет на барабанах.,1.556
Женщина нарезает перец.,Женщина режет красный перец.,3.938
